ESQUINA,COLONIA,ALCALDIA,BOTON,ALTAVOZ,LONGITUD ,LATITUD ,geopoint,TIPO DE POSTE,ESTATUS CONECTIVIDAD,INCREMENTO 100 Mbps
C. ROA BARCENAS,SEVILLA,VENUSTIANO CARRANZA,CON BOTON,CON ALTAVOZ,-99.122004,19.411129,"19.411129,-99.122004",9m,WIFI GRATUITO_ACTIVO,SI
C. LORENZO BOTURINI,EL PARQUE,VENUSTIANO CARRANZA,CON BOTON,CON ALTAVOZ,-99.117379,19.41688,"19.41688,-99.117379",9m,WIFI GRATUITO_ACTIVO,SI
C. 13,VALENTIN GOMEZ FARIAS,VENUSTIANO CARRANZA,SIN BOTON,CON ALTAVOZ,-99.095327,19.41542,"19.41542,-99.095327",9m,WIFI GRATUITO_ACTIVO,SI
C. LAZARO PAVIA,EL PARQUE,VENUSTIANO CARRANZA,SIN BOTON,CON ALTAVOZ,-99.114564,19.423325,"19.423325,-99.114564",9m,WIFI GRATUITO_ACTIVO,SI
RET. 35,JARDIN BALBUENA,VENUSTIANO CARRANZA,SIN BOTON,SIN ALTAVOZ,-99.105294,19.421153,"19.421153,-99.105294",9m,WIFI GRATUITO_ACTIVO,SI
EJE 3 OTE. FCO. DEL PASO Y TRONCOSO,JARDIN BALBUENA,VENUSTIANO CARRANZA,CON BOTON,CON ALTAVOZ,-99.111827,19.419531,"19.419531,-99.111827",9m,WIFI GRATUITO_ACTIVO,SI
C. LIMON,ZONA CENTRO,VENUSTIANO CARRANZA,CON BOTON,CON ALTAVOZ,-99.123829,19.431724,"19.431724,-99.123829",9m,WIFI GRATUITO_ACTIVO,SI
C. JERICO,SIMON BOLIVAR,VENUSTIANO CARRANZA,CON BOTON,CON ALTAVOZ,-99.094356,19.449319,"19.449319,-99.094356",9m,WIFI GRATUITO_ACTIVO,SI
C. BOLIVARES,AQUILES SERDAN,VENUSTIANO CARRANZA,CON BOTON,CON ALTAVOZ,-99.092096,19.445714,"19.445714,-99.092096",9m,WIFI GRATUITO_ACTIVO,SI
C. GRAL. SOSTENES ROCHA,PUEBLO MAGDALENA MIXHUCA,VENUSTIANO CARRANZA,CON BOTON,CON ALTAVOZ,-99.120561,19.405509,"19.405509,-99.120561",9m,WIFI GRATUITO_ACTIVO,SI
C. LITOGRAFIA,20 DE NOVIEMBRE,VENUSTIANO CARRANZA,CON BOTON,CON ALTAVOZ,-99.108625,19.44575,"19.44575,-99.108625",9m,WIFI GRATUITO_ACTIVO,SI
C. TIBURON,CARACOL,VENUSTIANO CARRANZA,CON BOTON,CON ALTAVOZ,-99.066346,19.426323,"19.426323,-99.066346",9m,WIFI GRATUITO_ACTIVO,SI
ENTRE C. CHIMALHUACAN Y C. MATILDE MARQUEZ,PEÑON DE LOS BAÑOS,VENUSTIANO CARRANZA,CON BOTON,CON ALTAVOZ,-99.084593,19.435741,"19.435741,-99.084593",9m,WIFI GRATUITO_ACTIVO,SI
CIRCUITO INTERIOR RIO CONSULADO,AQUILES SERDAN,VENUSTIANO CARRANZA,CON BOTON,SIN ALTAVOZ,-99.088905,19.447388,"19.447388,-99.088905",9m,WIFI GRATUITO_ACTIVO,SI
C. COLONES,PEÑON DE LOS BAÑOS,VENUSTIANO CARRANZA,SIN BOTON,CON ALTAVOZ,-99.080385,19.44178,"19.44178,-99.080385",9m,WIFI GRATUITO_ACTIVO,SI
AV. IZTACCIHUATL,MOCTEZUMA 2DA. SECC.,VENUSTIANO CARRANZA,CON BOTON,CON ALTAVOZ,-99.101782,19.426351,"19.426351,-99.101782",9m,WIFI GRATUITO_ACTIVO,SI
AV. DEL PEÑON,MOCTEZUMA 2DA. SECC.,VENUSTIANO CARRANZA,CON BOTON,CON ALTAVOZ,-99.093408,19.44096,"19.44096,-99.093408",9m,WIFI GRATUITO_ACTIVO,SI
AVENIDA DE LA INDUSTRIA,MOCTEZUMA 2A. SECCION,VENUSTIANO CARRANZA,SIN BOTON,CON ALTAVOZ,-99.101464,19.435271,"19.435271,-99.101464",9m,WIFI GRATUITO_ACTIVO,SI
AV. DEL TALLER,JARDIN BALBUENA,VENUSTIANO CARRANZA,CON BOTON,CON ALTAVOZ,-99.112452,19.413657,"19.413657,-99.112452",9m,WIFI GRATUITO_ACTIVO,SI
EJE 3 ORIENTE AV. EDUARDO MOLINA (LATERAL),FELIPE ANGELES,VENUSTIANO CARRANZA,CON BOTON,CON ALTAVOZ,-99.110362,19.450367,"19.450367,-99.110362",9m,WIFI GRATUITO_ACTIVO,SI
C. CECILIO ROBELO,JARDIN BALBUENA,VENUSTIANO CARRANZA,CON BOTON,SIN ALTAVOZ,-99.103684,19.420358,"19.420358,-99.103684",9m,WIFI GRATUITO_ACTIVO,SI
AV. DEL TALLER,JARDIN BALBUENA,VENUSTIANO CARRANZA,CON BOTON,CON ALTAVOZ,-99.101011,19.411187,"19.411187,-99.101011",9m,WIFI GRATUITO_ACTIVO,SI
RETORNO 16 DE GENARO GARCIA,JARDIN BALBUENA,VENUSTIANO CARRANZA,CON BOTON,SIN ALTAVOZ,-99.106348,19.415658,"19.415658,-99.106348",9m,WIFI GRATUITO_ACTIVO,SI
C. IMPRESORES,20 DE NOVIEMBRE,VENUSTIANO CARRANZA,CON BOTON,CON ALTAVOZ,-99.107471,19.443781,"19.443781,-99.107471",9m,WIFI GRATUITO_ACTIVO,SI
C. HORTELANOS,MORELOS,VENUSTIANO CARRANZA,SIN BOTON,CON ALTAVOZ,-99.11429,19.440623,"19.440623,-99.11429",9m,WIFI GRATUITO_ACTIVO,SI
CDA. E. MOLINA,FELIPE ANGELES,VENUSTIANO CARRANZA,CON BOTON,CON ALTAVOZ,-99.109918,19.452179,"19.452179,-99.109918",9m,WIFI GRATUITO_ACTIVO,SI
AVENIDA OCEANIA,MOCTEZUMA 2A NORTE,VENUSTIANO CARRANZA,SIN BOTON,CON ALTAVOZ,-99.09497,19.440634,"19.440634,-99.09497",9m,WIFI GRATUITO_ACTIVO,SI
C. PLOMEROS,MORELOS,VENUSTIANO CARRANZA,SIN BOTON,CON ALTAVOZ,-99.122232,19.449131,"19.449131,-99.122232",9m,WIFI GRATUITO_ACTIVO,SI
C. HERREROS,MORELOS,VENUSTIANO CARRANZA,CON BOTON,CON ALTAVOZ,-99.119302,19.441133,"19.441133,-99.119302",9m,WIFI GRATUITO_ACTIVO,SI
ENTRE CALZ. DE LA VIGA Y FRAY SERVANDO TERESA DE MIER,VENUSTIANO CARRANZA,VENUSTIANO CARRANZA,CON BOTON,CON ALTAVOZ,-99.126243,19.422038,"19.422038,-99.126243",9m,WIFI GRATUITO_ACTIVO,SI
C. SUR 81,MERCED BALBUENA,VENUSTIANO CARRANZA,CON BOTON,CON ALTAVOZ,-99.122711,19.420036,"19.420036,-99.122711",9m,WIFI GRATUITO_ACTIVO,SI
C. NAVOJOA,OBREGON,VENUSTIANO CARRANZA,CON BOTON,CON ALTAVOZ,-99.120576,19.412666,"19.412666,-99.120576",9m,WIFI GRATUITO_ACTIVO,SI
C. SUR 79,MERCED BALBUENA,VENUSTIANO CARRANZA,SIN BOTON,CON ALTAVOZ,-99.123239,19.420102,"19.420102,-99.123239",9m,WIFI GRATUITO_ACTIVO,SI
C. SIDAR Y ROVIROSA,EL PARQUE,VENUSTIANO CARRANZA,CON BOTON,CON ALTAVOZ,-99.115226,19.430265,"19.430265,-99.115226",9m,WIFI GRATUITO_ACTIVO,SI
C. SUR 81,MERCED BALBUENA,VENUSTIANO CARRANZA,CON BOTON,CON ALTAVOZ,-99.122924,19.419172,"19.419172,-99.122924",9m,WIFI GRATUITO_ACTIVO,SI
VIADUCTO RIO DE LA PIEDAD,IGNACIO ZARAGOZA,VENUSTIANO CARRANZA,CON BOTON,SIN ALTAVOZ,-99.095038,19.409175,"19.409175,-99.095038",9m,WIFI GRATUITO_ACTIVO,SI
C. SINALOA,PEÑON DE LOS BAÑOS,VENUSTIANO CARRANZA,CON BOTON,CON ALTAVOZ,-99.082632,19.439257,"19.439257,-99.082632",9m,WIFI GRATUITO_ACTIVO,SI
ENTRE C. MATAMOROS Y C. PILOTO AVIADOR CARLOS LEON,PEÑON DE LOS BAÑOS,VENUSTIANO CARRANZA,SIN BOTON,CON ALTAVOZ,-99.079221,19.438283,"19.438283,-99.079221",9m,WIFI GRATUITO_ACTIVO,SI
C. HERREROS,MORELOS,VENUSTIANO CARRANZA,CON BOTON,CON ALTAVOZ,-99.117062,19.439898,"19.439898,-99.117062",9m,WIFI GRATUITO_ACTIVO,SI
ENTRE C. TRANSVAAL Y C. SIBERIA,PENSADOR MEXICANO,VENUSTIANO CARRANZA,CON BOTON,CON ALTAVOZ,-99.089837,19.443366,"19.443366,-99.089837",9m,WIFI GRATUITO_ACTIVO,SI
C. FLORINES,AMPLIACION SIMON BOLIVAR,VENUSTIANO CARRANZA,CON BOTON,SIN ALTAVOZ,-99.099577,19.449759,"19.449759,-99.099577",9m,WIFI GRATUITO_ACTIVO,SI
C. MARMOLERIA,20 DE NOVIEMBRE,VENUSTIANO CARRANZA,CON BOTON,CON ALTAVOZ,-99.107742,19.449782,"19.449782,-99.107742",9m,WIFI GRATUITO_ACTIVO,SI
C. NICOLAS BRAVO,PUEBLO MAGDALENA MIXHUCA,VENUSTIANO CARRANZA,SIN BOTON,CON ALTAVOZ,-99.11986,19.410525,"19.410525,-99.11986",9m,WIFI GRATUITO_ACTIVO,SI
AV. DE LA INDUSTRIA,MOCTEZUMA 2A. SECCION,VENUSTIANO CARRANZA,CON BOTON,CON ALTAVOZ,-99.105673,19.433579,"19.433579,-99.105673",9m,WIFI GRATUITO_ACTIVO,SI
ENTRE C. CARLOS SANTA ANA Y C. ALFONSO CEBALLOS,MOCTEZUMA SECC. I,VENUSTIANO CARRANZA,CON BOTON,CON ALTAVOZ,-99.108774,19.426519,"19.426519,-99.108774",9m,WIFI GRATUITO_ACTIVO,SI
C. L. PRECIADO DE LA TORRE,MOCTEZUMA 1a. SECC.,VENUSTIANO CARRANZA,CON BOTON,CON ALTAVOZ,-99.108554,19.429769,"19.429769,-99.108554",9m,WIFI GRATUITO_ACTIVO,SI
C. JOSE RIVERA,MOCTEZUMA 1a SECC,VENUSTIANO CARRANZA,CON BOTON,CON ALTAVOZ,-99.108164,19.428039,"19.428039,-99.108164",9m,WIFI GRATUITO_ACTIVO,SI
C. GALINDO Y VILLA,IGNACIO ZARAGOZA,VENUSTIANO CARRANZA,CON BOTON,SIN ALTAVOZ,-99.098901,19.419683,"19.419683,-99.098901",9m,WIFI GRATUITO_ACTIVO,SI
C. JERICO,ROMERO RUBIO,VENUSTIANO CARRANZA,SIN BOTON,CON ALTAVOZ,-99.097343,19.441301,"19.441301,-99.097343",9m,WIFI GRATUITO_ACTIVO,SI
C. IXNAHUALTONGO,LORENZO BOTURINI,VENUSTIANO CARRANZA,CON BOTON,CON ALTAVOZ,-99.125332,19.417263,"19.417263,-99.125332",9m,WIFI GRATUITO_ACTIVO,SI
CDA. SAN CIPRIAN,ZONA CENTRO,VENUSTIANO CARRANZA,CON BOTON,CON ALTAVOZ,-99.121691,19.426547,"19.426547,-99.121691",9m,WIFI GRATUITO_ACTIVO,SI
C. TORNO,JAMAICA,VENUSTIANO CARRANZA,CON BOTON,CON ALTAVOZ,-99.124221,19.408778,"19.408778,-99.124221",9m,WIFI GRATUITO_ACTIVO,SI
C. CORREGIDORA,ZONA CENTRO,VENUSTIANO CARRANZA,CON BOTON,CON ALTAVOZ,-99.121427,19.430487,"19.430487,-99.121427",9m,WIFI GRATUITO_ACTIVO,SI
CTO. INTERIOR RIO CONSULADO,SIMON BOLIVAR,VENUSTIANO CARRANZA,CON BOTON,SIN ALTAVOZ,-99.095748,19.451189,"19.451189,-99.095748",9m,WIFI GRATUITO_ACTIVO,SI
C. DINARES,AQUILES SERDAN,VENUSTIANO CARRANZA,CON BOTON,CON ALTAVOZ,-99.093897,19.447331,"19.447331,-99.093897",9m,WIFI GRATUITO_ACTIVO,SI
C. UNION,AMPLIACION ADOLFO LOPEZ MATEOS,VENUSTIANO CARRANZA,CON BOTON,CON ALTAVOZ,-99.071544,19.417708,"19.417708,-99.071544",9m,WIFI GRATUITO_ACTIVO,SI
C. ELECTRICISTAS,20 DE NOVIEMBRE,VENUSTIANO CARRANZA,CON BOTON,CON ALTAVOZ,-99.111483,19.445785,"19.445785,-99.111483",9m,WIFI GRATUITO_ACTIVO,SI
C. TIZIMIN,LOMAS DE PADIERNA,TLALPAN,CON BOTON,CON ALTAVOZ,-99.223555,19.289089,"19.289089,-99.223555",9m,WIFI GRATUITO_ACTIVO,SI
ENTRE AV. ESTADIO AZTECA Y CALZ. DE TLALPAN,CANTIL DEL PEDREGAL,COYOACAN,CON BOTON,CON ALTAVOZ,-99.153409,19.301265,"19.301265,-99.153409",9m,WIFI GRATUITO_ACTIVO,SI
C. CUAUHTEMOC,TORIELLO GUERRA,TLALPAN,CON BOTON,CON ALTAVOZ,-99.165557,19.293807,"19.293807,-99.165557",9m,WIFI GRATUITO_ACTIVO,SI
C. SILLON DE MENDOZA,TORIELLO GUERRA,TLALPAN,CON BOTON,CON ALTAVOZ,-99.1586,19.294754,"19.294754,-99.1586",9m,WIFI GRATUITO_ACTIVO,SI
AVENIDA DE LAS FUENTES,TORIELLO GUERRA,TLALPAN,CON BOTON,CON ALTAVOZ,-99.1689,19.296118,"19.296118,-99.1689",9m,WIFI GRATUITO_ACTIVO,SI
INTERIOR DEL PARQUE ZONA DE ESTACIONAMIENTO,PARQUES DEL PEDREGAL,TLALPAN,CON BOTON,CON ALTAVOZ,-99.19159,19.2953,"19.2953,-99.19159",9m,WIFI GRATUITO_ACTIVO,SI
C. CARLOS LAZO,AMPLIACION MIGUEL HIDALGO 2da. SECCION,TLALPAN,CON BOTON,CON ALTAVOZ,-99.195834,19.286078,"19.286078,-99.195834",9m,WIFI GRATUITO_ACTIVO,SI
C. EMILIANO ZAPATA,SAN PEDRO MARTIR,TLALPAN,CON BOTON,CON ALTAVOZ,-99.163425,19.264926,"19.264926,-99.163425",9m,WIFI GRATUITO_ACTIVO,SI
C. CEBADALES,GRANJAS COAPA,TLALPAN,SIN BOTON,SIN ALTAVOZ,-99.111489,19.300102,"19.300102,-99.111489",9m,WIFI GRATUITO_ACTIVO,SI
C. BALANCAN,FRACC. FUENTES DEL PEDREGAL,TLALPAN,SIN BOTON,CON ALTAVOZ,-99.232487,19.299853,"19.299853,-99.232487",9m,WIFI GRATUITO_ACTIVO,SI
ENTRE C. JUAREZ Y C. REFORMA,PUEBLO SAN ANDRES TOTOLTEPEC,TLALPAN,CON BOTON,CON ALTAVOZ,-99.173143,19.253427,"19.253427,-99.173143",9m,WIFI GRATUITO_ACTIVO,SI
2A CDA. DE PALMA,SN. ANDRES TOTOLTEPEC,TLALPAN,SIN BOTON,CON ALTAVOZ,-99.169511,19.251138,"19.251138,-99.169511",9m,WIFI GRATUITO_ACTIVO,SI
CASETA DE COBRO,PUEBLO SAN MIGUEL XICALCO,XOCHIMILCO,CON BOTON,CON ALTAVOZ,-99.147616,19.241737,"19.241737,-99.147616",9m,WIFI GRATUITO_ACTIVO,SI
C. CLUB ATLAS,V. LAZARO CARDENAS,TLALPAN,SIN BOTON,CON ALTAVOZ,-99.140538,19.298776,"19.298776,-99.140538",9m,WIFI GRATUITO_ACTIVO,SI
AV. GARITA,U.H. NARCISO MENDOZA,TLALPAN,CON BOTON,CON ALTAVOZ,-99.120458,19.291095,"19.291095,-99.120458",9m,WIFI GRATUITO_ACTIVO,SI
C. LA TROJE,RESIDENCIAL VILLA COAPA,TLALPAN,CON BOTON,CON ALTAVOZ,-99.125625,19.289827,"19.289827,-99.125625",9m,WIFI GRATUITO_ACTIVO,SI
C. PLAZA DE LA CONSTITUCION,TLALPAN CENTRO,TLALPAN,CON BOTON,CON ALTAVOZ,-99.167521,19.28794,"19.28794,-99.167521",9m,WIFI GRATUITO_ACTIVO,SI
ENTRE CDA. AGUILA Y C. NOCTURNA,SAN JERONIMO LIDICE,MAGDALENA CONTRERAS,CON BOTON,CON ALTAVOZ,-99.219504,19.333024,"19.333024,-99.219504",9m,WIFI GRATUITO_ACTIVO,SI
CDA. ALTO LUCERO,SAN JERONIMO LIDICE,MAGDALENA CONTRERAS,SIN BOTON,CON ALTAVOZ,-99.229625,19.329445,"19.329445,-99.229625",9m,WIFI GRATUITO_ACTIVO,SI
AV. SAN JERONIMO,LA MALINCHE,MAGDALENA CONTRERAS,CON BOTON,CON ALTAVOZ,-99.236843,19.317588,"19.317588,-99.236843",9m,WIFI GRATUITO_ACTIVO,SI
C CRUZ VERDE,LOS PADRES,MAGDALENA CONTRERAS,CON BOTON,SIN ALTAVOZ,-99.246227,19.322473,"19.322473,-99.246227",9m,WIFI GRATUITO_ACTIVO,SI
C. DALIAS,VISTA HERMOSA,MAGDALENA CONTRERAS,CON BOTON,CON ALTAVOZ,-99.2551,19.316732,"19.316732,-99.2551",9m,WIFI GRATUITO_ACTIVO,SI
CJON. DE LA PARROQUIA,LA MAGDALENA,MAGDALENA CONTRERAS,SIN BOTON,CON ALTAVOZ,-99.245178,19.302249,"19.302249,-99.245178",9m,WIFI GRATUITO_ACTIVO,SI
ENTRE CDA. NOGAL Y C. PRADERA,TIERRA COLORADA,MAGDALENA CONTRERAS,SIN BOTON,CON ALTAVOZ,-99.257066,19.307429,"19.307429,-99.257066",9m,WIFI GRATUITO_ACTIVO,SI
CLL. LOMA BONITA,SAN JERONIMO ACULCO,MAGDALENA CONTRERAS,CON BOTON,SIN ALTAVOZ,-99.222687,19.316801,"19.316801,-99.222687",9m,WIFI GRATUITO_ACTIVO,SI
C. ALCANTARILLA,BARRANCA SECA,MAGDALENA CONTRERAS,CON BOTON,SIN ALTAVOZ,-99.239023,19.304517,"19.304517,-99.239023",9m,WIFI GRATUITO_ACTIVO,SI
C. ROSA CHINA,LA MALINCHE,MAGDALENA CONTRERAS,CON BOTON,SIN ALTAVOZ,-99.238859,19.322538,"19.322538,-99.238859",9m,WIFI GRATUITO_ACTIVO,SI
C. HEROES DE PADIERNA,SAN JERONIMO LIDICE,MAGDALENA CONTRERAS,CON BOTON,CON ALTAVOZ,-99.223526,19.32497,"19.32497,-99.223526",9m,WIFI GRATUITO_ACTIVO,SI
CDA. SAN RAMON,SAN JERONIMO LIDICE,MAGDALENA CONTRERAS,CON BOTON,CON ALTAVOZ,-99.218308,19.331095,"19.331095,-99.218308",9m,WIFI GRATUITO_ACTIVO,SI
PRIV. 5 DE MAYO,LA CRUZ,MAGDALENA CONTRERAS,CON BOTON,CON ALTAVOZ,-99.232251,19.308186,"19.308186,-99.232251",9m,WIFI GRATUITO_ACTIVO,SI
C. CRUZ VERDE,LOMAS QUEBRADAS,MAGDALENA CONTRERAS,SIN BOTON,CON ALTAVOZ,-99.24109,19.31159,"19.31159,-99.24109",9m,WIFI GRATUITO_ACTIVO,SI
C. SANTIAGO,LOMAS QUEBRADA,MAGDALENA CONTRERAS,CON BOTON,CON ALTAVOZ,-99.239814,19.317469,"19.317469,-99.239814",9m,WIFI GRATUITO_ACTIVO,SI
C. JALAPA,SAN JERONIMO ACULCO,MAGDALENA CONTRERAS,SIN BOTON,SIN ALTAVOZ,-99.224109,19.322617,"19.322617,-99.224109",9m,WIFI GRATUITO_ACTIVO,SI
C. MOLINITO,LA MAGDALENA,MAGDALENA CONTRERAS,CON BOTON,CON ALTAVOZ,-99.240165,19.304063,"19.304063,-99.240165",9m,WIFI GRATUITO_ACTIVO,SI
AV. MORELOS,BARRIO TENANTITLA,MILPA ALTA,CON BOTON,SIN ALTAVOZ,-98.993929,19.220489,"19.220489,-98.993929",9m,WIFI GRATUITO_ACTIVO,SI
ENTRE PRIV. DE NUEVO LEON Y C. CORDOBA,BARRIO AMPL. SANTA CRUZ,MILPA ALTA,CON BOTON,CON ALTAVOZ,-99.016807,19.197156,"19.197156,-99.016807",9m,WIFI GRATUITO_ACTIVO,SI
ENTRE C. GUADALUPE RAMIREZ Y CJON. CASAS ALEMAN ( S/N ),PUEBLO SANTA ANA TLACOTENCO,MILPA ALTA,CON BOTON,CON ALTAVOZ,-99.000446,19.177615,"19.177615,-99.000446",9m,WIFI GRATUITO_ACTIVO,SI
AV. 5 DE MAYO,BARRIO XOCHITEPEC,MILPA ALTA,SIN BOTON,CON ALTAVOZ,-98.9861,19.216286,"19.216286,-98.9861",9m,WIFI GRATUITO_ACTIVO,SI
C. LA FRONTERA,PUEBLO SAN SALVADOR CUAUHTENCO,MILPA ALTA,SIN BOTON,CON ALTAVOZ,-99.083478,19.190456,"19.190456,-99.083478",9m,WIFI GRATUITO_ACTIVO,SI
C. AQUILES SERDAN,BARRIO SAN MIGUEL,TLAHUAC,SIN BOTON,CON ALTAVOZ,-99.00195,19.26893,"19.26893,-99.00195",9m,WIFI GRATUITO_ACTIVO,SI
C. EL PIPILA,PUEBLO SANTA CATARINA YECAHUIZOTL,TLAHUAC,CON BOTON,SIN ALTAVOZ,-98.96381,19.312237,"19.312237,-98.96381",9m,WIFI GRATUITO_ACTIVO,SI
C. MORELOS,OJO DE AGUA,TLAHUAC,CON BOTON,CON ALTAVOZ,-99.016694,19.292309,"19.292309,-99.016694",9m,WIFI GRATUITO_ACTIVO,SI
C. VICENTE GUERRERO,PUEBLO SAN FRANCISCO TLALTENCO,TLAHUAC,CON BOTON,CON ALTAVOZ,-99.019492,19.29474,"19.29474,-99.019492",9m,WIFI GRATUITO_ACTIVO,SI
AV. ACUEDUCTO (FC SAN RAFAEL ATLIXCO),ZACATENCO TLALTENCO (LAS PUERTAS),TLAHUAC,CON BOTON,CON ALTAVOZ,-99.024071,19.298237,"19.298237,-99.024071",9m,WIFI GRATUITO_ACTIVO,SI
C. FRANCISCO JIMENEZ,LA CONCHITA ZAPOTITLAN,TLAHUAC,CON BOTON,SIN ALTAVOZ,-99.036225,19.293978,"19.293978,-99.036225",9m,WIFI GRATUITO_ACTIVO,SI
C. SALVADOR DIAZ MIRON,SANTA ANA ZAPOTITLAN,TLAHUAC,SIN BOTON,CON ALTAVOZ,-99.049467,19.300554,"19.300554,-99.049467",9m,WIFI GRATUITO_ACTIVO,SI
C. COCODRILO,LAS ARBOLEDAS,TLAHUAC,CON BOTON,CON ALTAVOZ,-99.058082,19.303616,"19.303616,-99.058082",9m,WIFI GRATUITO_ACTIVO,SI
C. CUITLAHUAC,BARRIO LA ASUNCION,TLAHUAC,CON BOTON,CON ALTAVOZ,-99.003492,19.27231,"19.27231,-99.003492",9m,WIFI GRATUITO_ACTIVO,SI
C. SANTO DOMINGO,LA CONCHITA (LA CONCHITA ZAPOTITLAN),TLAHUAC,CON BOTON,CON ALTAVOZ,-99.0389,19.29621,"19.29621,-99.0389",9m,WIFI GRATUITO_ACTIVO,SI
C. RAMOS MILLAN,TIERRA BLANCA,TLAHUAC,CON BOTON,CON ALTAVOZ,-98.999609,19.241601,"19.241601,-98.999609",9m,WIFI GRATUITO_ACTIVO,SI
C. JUAN DE LA BARRERA,PUEBLO SAN JUAN IXTAYOPAN,TLAHUAC,CON BOTON,CON ALTAVOZ,-98.998049,19.239377,"19.239377,-98.998049",9m,WIFI GRATUITO_ACTIVO,SI
C. COMERCIO SUR,CONCEPCION,TLAHUAC,SIN BOTON,SIN ALTAVOZ,-98.995518,19.240525,"19.240525,-98.995518",9m,WIFI GRATUITO_ACTIVO,SI
C. FELIPE ANGELES,BARRIO SAN AGUSTIN,TLAHUAC,SIN BOTON,CON ALTAVOZ,-98.966976,19.224453,"19.224453,-98.966976",9m,WIFI GRATUITO_ACTIVO,SI
AVENIDA GUILLERMO PRIETO,MIGUEL HIDALGO,TLAHUAC,CON BOTON,CON ALTAVOZ,-99.040726,19.288871,"19.288871,-99.040726",9m,WIFI GRATUITO_ACTIVO,SI
C. MAR DE LAS LLUVIAS,OJO DE AGUA,TLAHUAC,SIN BOTON,SIN ALTAVOZ,-99.009298,19.291135,"19.291135,-99.009298",9m,WIFI GRATUITO_ACTIVO,SI
C. RAFAEL ATLIXCO,PUEBLO SAN FRANCISCO TLALTENCO,TLAHUAC,SIN BOTON,CON ALTAVOZ,-99.02172,19.300388,"19.300388,-99.02172",9m,WIFI GRATUITO_ACTIVO,SI
C. EL MOLINO,LA PLANTA,TLAHUAC,CON BOTON,CON ALTAVOZ,-99.062305,19.295743,"19.295743,-99.062305",9m,WIFI GRATUITO_ACTIVO,SI
C. SAN RAFAEL ATLIXCO,SANTIAGO ZAPOTITLAN,TLAHUAC,SIN BOTON,CON ALTAVOZ,-99.028527,19.303849,"19.303849,-99.028527",9m,WIFI GRATUITO_ACTIVO,SI
3RA. CDA. AMADO NERVO (ANTES C. GABRIEL GARCIA MARQUEZ),BARRIO SANTA ANA PONIENTE,TLAHUAC,CON BOTON,CON ALTAVOZ,-99.047146,19.304821,"19.304821,-99.047146",9m,WIFI GRATUITO_ACTIVO,SI
C. ERNANI,AGRICOLA METROPOLITANA,TLAHUAC,SIN BOTON,SIN ALTAVOZ,-99.048512,19.291165,"19.291165,-99.048512",9m,WIFI GRATUITO_ACTIVO,SI
C. CAPULINES,BARRIO SAN PEDRO,XOCHIMILCO,CON BOTON,CON ALTAVOZ,-99.10665,19.246577,"19.246577,-99.10665",9m,WIFI GRATUITO_ACTIVO,SI
C. CUAUHTEMOC,TABLAS DE SAN LORENZO,XOCHIMILCO,SIN BOTON,CON ALTAVOZ,-99.102698,19.245096,"19.245096,-99.102698",9m,WIFI GRATUITO_ACTIVO,SI
CJON. GALEANA,PUEBLO STA. MA. TEPEPAN,XOCHIMILCO,CON BOTON,CON ALTAVOZ,-99.133393,19.279356,"19.279356,-99.133393",9m,WIFI GRATUITO_ACTIVO,SI
C. ALCANFORES,AMPLIACION SAN MARCOS NORTE,XOCHIMILCO,CON BOTON,SIN ALTAVOZ,-99.117197,19.269245,"19.269245,-99.117197",9m,WIFI GRATUITO_ACTIVO,SI
AV. DIVISION DEL NORTE,BARRIO CALYEQUITA,XOCHIMILCO,SIN BOTON,CON ALTAVOZ,-99.005499,19.247981,"19.247981,-99.005499",9m,WIFI GRATUITO_ACTIVO,SI
C. JOSEFA O. DE DOMINGUEZ,SAN FELIPE DE JESUS,XOCHIMILCO,CON BOTON,CON ALTAVOZ,-99.012941,19.254081,"19.254081,-99.012941",9m,WIFI GRATUITO_ACTIVO,SI
C. ESCUDO NACIONAL,NATIVITAS,XOCHIMILCO,CON BOTON,CON ALTAVOZ,-99.009039,19.250204,"19.250204,-99.009039",9m,WIFI GRATUITO_ACTIVO,SI
AV. CUAUHTEMOC,PUEBLO SAN GREGORIO ATLAPULCO,XOCHIMILCO,CON BOTON,CON ALTAVOZ,-99.056892,19.249102,"19.249102,-99.056892",9m,WIFI GRATUITO_ACTIVO,SI
C. DEL MERCADO,NATIVITAS,XOCHIMILCO,SIN BOTON,CON ALTAVOZ,-99.094555,19.250099,"19.250099,-99.094555",9m,WIFI GRATUITO_ACTIVO,SI
CALZ. REDENCION,BARRIO SAN PEDRO,XOCHIMILCO,SIN BOTON,CON ALTAVOZ,-99.11047,19.257392,"19.257392,-99.11047",9m,WIFI GRATUITO_ACTIVO,SI
C. VITRALES,U.H. RINCONADA DEL SUR FOVISSSTE,XOCHIMILCO,CON BOTON,CON ALTAVOZ,-99.120208,19.260992,"19.260992,-99.120208",9m,WIFI GRATUITO_ACTIVO,SI
ANTIGUO CAMINO A XOCHIMILCO,AMPLIACION LA NORIA,XOCHIMILCO,SIN BOTON,CON ALTAVOZ,-99.124108,19.259688,"19.259688,-99.124108",9m,WIFI GRATUITO_ACTIVO,SI
