ESQUINA,COLONIA,ALCALDIA,BOTON,ALTAVOZ,LONGITUD ,LATITUD ,geopoint,TIPO DE POSTE,ESTATUS CONECTIVIDAD,INCREMENTO 100 Mbps
1a. CDA. GPE. I. RAMIREZ,PUEBLO SAN LUIS TLAXIALTEMALCO,XOCHIMILCO,CON BOTON,CON ALTAVOZ,-99.03327,19.259073,"19.259073,-99.03327",9m,WIFI GRATUITO_ACTIVO,SI
ENTRE AV. 20 DE NOVIEMBRE Y AV. MEXICO,TIERRA NUEVA,XOCHIMILCO,CON BOTON,CON ALTAVOZ,-99.116341,19.263566,"19.263566,-99.116341",9m,WIFI GRATUITO_ACTIVO,SI
C. BELISARIO DOMINGUEZ,CALYEQUITA,XOCHIMILCO,CON BOTON,CON ALTAVOZ,-99.011475,19.253443,"19.253443,-99.011475",9m,WIFI GRATUITO_ACTIVO,SI
C. PINO,BARRIO LA GUADALUPITA,XOCHIMILCO,CON BOTON,CON ALTAVOZ,-99.103071,19.264201,"19.264201,-99.103071",9m,WIFI GRATUITO_ACTIVO,SI
ENTRE 4a PRIV. ZAPATA Y C. HIDALGO,XOCHIMILCO,XOCHIMILCO,CON BOTON,CON ALTAVOZ,-99.101637,19.266645,"19.266645,-99.101637",9m,WIFI GRATUITO_ACTIVO,SI
C. 18 DE MARZO,TIERRA NUEVA,XOCHIMILCO,CON BOTON,CON ALTAVOZ,-99.116239,19.264379,"19.264379,-99.116239",9m,WIFI GRATUITO_ACTIVO,SI
C. INDUSTRIA,PUEBLO SANTA CRUZ XOCHITEPEC,XOCHIMILCO,SIN BOTON,CON ALTAVOZ,-99.133384,19.256699,"19.256699,-99.133384",9m,WIFI GRATUITO_ACTIVO,SI
C. MONTE MORELOS,PUEBLO SAN LUCAS XOCHIMANCA,XOCHIMILCO,CON BOTON,CON ALTAVOZ,-99.111155,19.242783,"19.242783,-99.111155",9m,WIFI GRATUITO_ACTIVO,SI
C. JOSEFA ORTIZ DE DOMINGUEZ,BARRIO LA GUADALUPITA,XOCHIMILCO,CON BOTON,CON ALTAVOZ,-99.101878,19.265105,"19.265105,-99.101878",9m,WIFI GRATUITO_ACTIVO,SI
AVENIDA MANI,PEDREGAL DE SAN NICOLAS 4TA SECC.,TLALPAN,SIN BOTON,CON ALTAVOZ,-99.236965,19.279533,"19.279533,-99.236965",9m,WIFI GRATUITO_ACTIVO,SI
